2011 bis 2020
Jahr,Monat,Jahr,Jahreszeit
Jan.,Feb.,März,April,Mai,Juni,Juli,Aug.,Sep.,Okt.,Nov.,Dez,Win.,Früh.,Som.,Her.
2013,0,2,-0,7,0,1,,,,,,,,,,,0,3,,,
2012,1,9,-2,5,6,9,8,1,14,2,15,5,17,4,18,4,13,6,8,7,5,2,1,5,9,1,1,1,9,8,17,1,9,2
2011,1,0,0,9,4,9,11,6,13,9,16,5,16,1,17,7,15,2,9,4,4,5,3,9,9,6,-0,6,10,1,16,8,9,7
Durch.,1,0,-0,8,4,0,9,9,14,0,16,0,16,7,18,1,14,4,9,1,4,8,2,7,9,2,1,0,9,3,16,9,9,4
2001 bis 2010
Jahr,Monat,Jahr,Jahreszeit
Jan.,Feb.,März,April,Mai,Juni,Juli,Aug.,Sep.,Okt.,Nov.,Dez,Win.,Früh.,Som.,Her.
2010,-3,6,-0,5,4,2,8,7,10,4,16,3,20,3,16,7,12,4,8,1,4,8,-3,7,7,9,-1,3,7,8,17,8,8,4
2009,-2,2,0,5,4,3,11,8,13,6,14,8,18,0,18,7,14,7,8,2,7,4,0,3,9,2,-0,2,9,9,17,2,10,1
2008,3,6,3,7,4,2,7,6,14,5,16,9,18,0,17,4,12,4,9,1,5,1,1,1,9,5,3,0,8,8,17,4,8,9
2007,4,8,3,9,6,2,11,5,14,2,17,4,17,2,16,9,12,6,8,3,3,7,1,6,9,9,4,4,10,6,17,2,8,2
2006,-2,6,-0,4,1,5,8,0,13,1,16,8,22,0,15,5,16,9,12,1,7,0,4,4,9,6,-0,7,7,5,18,1,12,0
2005,2,0,-1,0,3,6,9,3,12,8,16,4,18,0,15,8,15,0,11,0,4,2,0,9,9,0,0,7,8,5,16,7,10,0
2004,-0,1,2,4,4,1,9,3,11,6,15,3,16,8,18,4,14,0,10,1,4,2,1,1,8,9,1,4,8,4,16,8,9,4
2003,-0,3,-1,9,5,3,8,5,14,1,19,4,19,1,20,6,13,8,5,9,6,0,1,8,9,4,-0,6,9,3,19,7,8,6
2002,1,2,5,0,5,4,8,1,13,8,17,4,17,7,18,8,13,1,8,3,5,6,0,3,9,6,2,0,9,1,18,0,9,0
2001,0,9,2,3,4,2,7,1,14,4,14,3,18,6,18,6,11,8,12,5,3,8,-0,2,9,0,2,1,8,6,17,2,9,4
Durch.,0,4,1,4,4,3,9,0,13,2,16,5,18,6,17,7,13,7,9,4,5,2,0,8,9,2,0,8,8,9,17,6,9,4
